1968,34.08,35.47,37,5.1
1968,32.7005,35.6008,10,4.2
1968,36.3,36.2,33,4.4
1968,36.887,34.476,25,4.5
1968,35.34,31.292,33,4.6
1968,36.49,40.68,49,4.7
1968,35.13,32.73,65,5.1
1969,30.4904,35.0012,10,4.2
1969,37.8,31.1,33,4.4
1969,36.98,31.04,109,5.1
1969,27.61,33.91,33,6.9
1969,28.397,34.383,33,4.9
1969,27.6997,32.9,33,4.5
1969,27.084,33.277,16,4.9
1969,37.29,35.0,86,4.7
1969,37.75,35.31,55,4.8
1969,36.82,35.31,44,4.4
1969,35.2,39.15,45,5.0
1969,35.7,35.6,33,4.4
1969,35.35,31.28,30,5.3
1969,36.2,30.5,113,4.4
1970,30.1991,34.0,33,4.6
1970,35.1236,32.5652,10,4.2
1970,34.42,32.49,38,4.8
1970,36.9,33.5,33,5.5
1970,37.6,30.4,5,4.8
1970,37.1,30.0,5,4.2
1970,34.2,33.7,5,4.7
1970,36.2,31.7,56,4.3
1970,32.7,40.7,33,4.1
1970,34.59,32.21,49,4.9
1970,33.2,34.4,5,4.4
1970,35.04,39.0,34,5.1
1970,31.3922,35.5038,10,4.9
1970,34.2,33.7,5,4.3
1971,37.2411,30.2979,46,5.4
1971,33.6355,35.4328,8,5.8
1971,37.76,36.18,60,4.7
1971,37.4184,32.0707,33,4.4
1971,37.146,36.833,35,5.8
1971,36.4177,34.9735,33,4.2
1971,36.4755,30.135,33,4.3
1971,32.9067,35.7011,10,4.3
1971,37.34,30.18,49,5.5
1972,37.0,31.0,5,4.9
1972,36.6583,35.6232,33,4.1
1972,36.55,32.25,43,4.6
1972,27.649,33.76,15,5.6
1972,36.043,31.593,33,4.5
1972,35.67,31.23,68,4.6
1972,37.7889,32.7433,40,4.7
1973,37.15,30.21,32,4.4
1973,36.0557,31.3896,76,4.8
1973,32.8079,35.5938,10,4.4
1973,36.8496,30.3566,35,4.7
1974,35.44,40.09,30,4.3
1974,34.63,30.81,30,4.2
1974,36.269,31.854,33,4.3
1974,30.5918,31.6392,12,5.0
1974,34.1,37.28,33,4.9
1974,36.6265,34.7389,44,5.0
1974,35.7177,31.5235,67,4.3
1974,33.34,38.43,30,4.3
1974,29.9123,35.7065,10,4.3
1974,37.4,36.06,59,4.5
1974,37.721,31.952,33,4.3
1975,33.5383,33.0668,10,5.1
1975,36.666,36.4852,35,5.6
1975,34.5375,33.8096,34,4.7
1975,36.1938,30.7381,60,6.0
1975,37.04,31.16,107,4.3
1976,34.38,32.55,15,5.4
1976,34.3803,31.72,46,5.4
1976,36.45,32.5494,47,5.4
1976,37.55,35.9,55,4.8
1976,36.767,35.893,41,4.3
1976,37.31,30.32,15,4.2
