Longitude,Latitude,Depth,Observed Count,Smoothed Rate,b-value
38.69,33.26,499.5,0,0.001097,0.7058
38.69,33.36,499.5,0,0.001948,0.7058
38.69,33.46,499.5,0,0.003264,0.7058
38.69,33.56,499.5,0,0.005156,0.7058
38.69,33.66,499.5,0,0.007684,0.7058
38.69,33.76,499.5,0,0.01082,0.7058
38.69,33.86,499.5,0,0.01441,0.7058
38.69,33.96,499.5,0,0.01821,0.7058
38.69,34.06,499.5,0,0.02194,0.7058
38.69,34.16,499.5,0,0.02535,0.7058
38.69,34.26,499.5,0,0.02835,0.7058
38.69,34.36,499.5,0,0.0311,0.7058
38.69,34.46,499.5,0,0.03394,0.7058
38.69,34.56,499.5,0,0.03732,0.7058
38.69,34.66,499.5,0,0.0416,0.7058
38.69,34.76,499.5,0,0.04689,0.7058
38.69,34.86,499.5,0,0.0529,0.7058
38.69,34.96,499.5,0,0.05898,0.7058
38.69,35.06,499.5,0,0.06429,0.7058
38.69,35.16,499.5,0,0.06801,0.7058
38.69,35.26,499.5,0,0.06956,0.7058
38.69,35.36,499.5,0,0.06874,0.7058
38.69,35.46,499.5,0,0.06574,0.7058
38.69,35.56,499.5,0,0.06099,0.7058
38.69,35.66,499.5,0,0.05508,0.7058
38.69,35.76,499.5,0,0.04858,0.7058
38.59,26.56,499.5,0,0.00002941,0.7058
38.59,26.66,499.5,0,0.00003511,0.7058
38.59,26.76,499.5,0,0.00004075,0.7058
38.59,26.86,499.5,0,0.00004581,0.7058
38.59,26.96,499.5,0,0.00004966,0.7058
38.59,27.06,499.5,0,0.00005169,0.7058
38.59,27.16,499.5,0,0.00005144,0.7058
38.59,27.26,499.5,0,0.00004874,0.7058
38.59,27.36,499.5,0,0.00004382,0.7058
38.59,27.46,499.5,0,0.00003727,0.7058
38.59,27.56,499.5,0,0.00002994,0.7058
38.59,27.66,499.5,0,0.00002267,0.7058
38.59,27.76,499.5,0,0.00001616,0.7058
38.59,27.86,499.5,0,0.00001085,0.7058
38.59,27.96,499.5,0,0.000006851,0.7058
38.59,28.06,499.5,0,0.00000407,0.7058
38.59,28.16,499.5,0,0.000002275,0.7058
38.59,28.26,499.5,0,0.000001196,0.7058
38.59,28.36,499.5,0,5.912E-007,0.7058
38.59,28.46,499.5,0,2.749E-007,0.7058
38.59,28.56,499.5,0,1.203E-007,0.7058
38.59,28.66,499.5,0,4.948E-008,0.7058
38.59,28.76,499.5,0,1.915E-008,0.7058
38.59,28.86,499.5,0,0.000000007,0.7058
38.59,28.96,499.5,0,0,0.7058
38.59,29.06,499.5,0,0,0.7058
38.59,29.16,499.5,0,0,0.7058
38.59,29.26,499.5,0,0,0.7058
38.59,29.36,499.5,0,0,0.7058
38.59,29.46,499.5,0,0,0.7058
38.59,29.56,499.5,0,0,0.7058
38.59,29.66,499.5,0,0,0.7058
38.59,29.76,499.5,0,0,0.7058
38.59,29.86,499.5,0,0,0.7058
38.59,29.96,499.5,0,0,0.7058
38.59,30.06,499.5,0,0,0.7058
38.59,30.16,499.5,0,0.000000007,0.7058
38.59,30.26,499.5,0,1.915E-008,0.7058
38.59,30.36,499.5,0,4.948E-008,0.7058
38.59,30.46,499.5,0,1.203E-007,0.7058
38.59,30.56,499.5,0,2.749E-007,0.7058
38.59,30.66,499.5,0,5.912E-007,0.7058
38.59,30.76,499.5,0,0.000001196,0.7058
38.59,30.86,499.5,0,0.000002275,0.7058
38.59,30.96,499.5,0,0.00000407,0.7058
38.59,31.06,499.5,0,0.00000685,0.7058
38.59,31.16,499.5,0,0.00001084,0.7058
38.59,31.26,499.5,0,0.00001615,0.7058
38.59,31.36,499.5,0,0.00002262,0.7058
38.59,31.46,499.5,0,0.00002979,0.7058
38.59,31.56,499.5,0,0.00003692,0.7058
38.59,31.66,499.5,0,0.00004302,0.7058
38.59,31.76,499.5,0,0.00004716,0.7058
38.59,31.86,499.5,0,0.00004863,0.7058
38.59,31.96,499.5,0,0.00004716,0.7058
38.59,32.06,499.5,0,0.00004302,0.7058
38.59,32.16,499.5,0,0.00003692,0.7058
38.59,32.26,499.5,0,0.00002979,0.7058
38.59,32.36,499.5,0,0.00002262,0.7058
38.59,32.46,499.5,0,0.00001615,0.7058
38.59,32.56,499.5,0,0.00001387,0.7058
38.59,32.66,499.5,0,0.00001501,0.7058
38.59,32.76,499.5,0,0.00002486,0.7058
38.59,32.86,499.5,0,0.00005208,0.7058
38.59,32.96,499.5,0,0.0001144,0.7058
38.59,33.06,499.5,0,0.0002415,0.7058
38.59,33.16,499.5,0,0.0004833,0.7058
38.59,33.26,499.5,0,0.0009127,0.7058
38.59,33.36,499.5,0,0.001625,0.7058
38.59,33.46,499.5,0,0.002732,0.7058
38.59,33.56,499.5,0,0.004335,0.7058
38.59,33.66,499.5,0,0.006493,0.7058
38.59,33.76,499.5,0,0.0092,0.7058
38.59,33.86,499.5,0,0.01235,0.7058
38.59,33.96,499.5,0,0.01578,0.7058
38.59,34.06,499.5,0,0.01925,0.7058
38.59,34.16,499.5,0,0.02261,0.7058
38.59,34.26,499.5,0,0.02582,0.7058
38.59,34.36,499.5,0,0.02902,0.7058
38.59,34.46,499.5,0,0.03252,0.7058
38.59,34.56,499.5,0,0.03671,0.7058
38.59,34.66,499.5,0,0.0419,0.7058
38.59,34.76,499.5,0,0.04811,0.7058
38.59,34.86,499.5,0,0.05502,0.7058
38.59,34.96,499.5,0,0.06196,0.7058
38.59,35.06,499.5,0,0.06805,0.7058
38.59,35.16,499.5,0,0.07244,0.7058
38.59,35.26,499.5,0,0.07455,0.7058
38.59,35.36,499.5,0,0.07414,0.7058
38.59,35.46,499.5,0,0.07138,0.7058
38.59,35.56,499.5,0,0.06673,0.7058
38.59,35.66,499.5,0,0.06077,0.7058
38.59,35.76,499.5,0,0.05411,0.7058
38.49,26.56,499.5,0,0.00007521,0.7058
38.49,26.66,499.5,0,0.00008981,0.7058
38.49,26.76,499.5,0,0.0001043,0.7058
38.49,26.86,499.5,0,0.0001173,0.7058
38.49,26.96,499.5,0,0.0001272,0.7058
38.49,27.06,499.5,0,0.0001324,0.7058
38.49,27.16,499.5,0,0.0001317,0.7058
38.49,27.26,499.5,0,0.0001248,0.7058
38.49,27.36,499.5,0,0.0001122,0.7058
38.49,27.46,499.5,0,0.00009544,0.7058
38.49,27.56,499.5,0,0.00007663,0.7058
38.49,27.66,499.5,0,0.000058,0.7058
38.49,27.76,499.5,0,0.00004134,0.7058
38.49,27.86,499.5,0,0.00002774,0.7058
38.49,27.96,499.5,0,0.00001751,0.7058
38.49,28.06,499.5,0,0.0000104,0.7058
38.49,28.16,499.5,0,0.000005828,0.7058
38.49,28.26,499.5,0,0.000003097,0.7058
38.49,28.36,499.5,0,0.000001595,0.7058
38.49,28.46,499.5,0,8.505E-007,0.7058
38.49,28.56,499.5,0,5.457E-007,0.7058
38.49,28.66,499.5,0,4.841E-007,0.7058
38.49,28.76,499.5,0,5.518E-007,0.7058
38.49,28.86,499.5,0,6.819E-007,0.7058
38.49,28.96,499.5,0,8.242E-007,0.7058
38.49,29.06,499.5,0,9.616E-007,0.7058
38.49,29.16,499.5,0,0.000001055,0.7058
38.49,29.26,499.5,0,0.000001088,0.7058
38.49,29.36,499.5,0,0.000001055,0.7058
38.49,29.46,499.5,0,9.616E-007,0.7058
38.49,29.56,499.5,0,8.242E-007,0.7058
38.49,29.66,499.5,0,6.642E-007,0.7058
38.49,29.76,499.5,0,5.033E-007,0.7058
38.49,29.86,499.5,0,3.585E-007,0.7058
38.49,29.96,499.5,0,2.401E-007,0.7058
38.49,30.06,499.5,0,1.512E-007,0.7058
38.49,30.16,499.5,0,1.072E-007,0.7058
38.49,30.26,499.5,0,9.837E-008,0.7058
38.49,30.36,499.5,0,1.516E-007,0.7058
38.49,30.46,499.5,0,3.184E-007,0.7058
38.49,30.56,499.5,0,7.052E-007,0.7058
38.49,30.66,499.5,0,0.000001508,0.7058
38.49,30.76,499.5,0,0.000003048,0.7058
38.49,30.86,499.5,0,0.000005803,0.7058
38.49,30.96,499.5,0,0.00001039,0.7058
38.49,31.06,499.5,0,0.0000175,0.7058
38.49,31.16,499.5,0,0.00002772,0.7058
38.49,31.26,499.5,0,0.0000413,0.7058
38.49,31.36,499.5,0,0.00005787,0.7058
38.49,31.46,499.5,0,0.00007626,0.7058
38.49,31.56,499.5,0,0.00009453,0.7058
38.49,31.66,499.5,0,0.0001102,0.7058
38.49,31.76,499.5,0,0.0001208,0.7058
38.49,31.86,499.5,0,0.0001246,0.7058
38.49,31.96,499.5,0,0.0001208,0.7058
38.49,32.06,499.5,0,0.0001102,0.7058
38.49,32.16,499.5,0,0.00009453,0.7058
38.49,32.26,499.5,0,0.00007626,0.7058
38.49,32.36,499.5,0,0.00005787,0.7058
38.49,32.46,499.5,0,0.0000413,0.7058
38.49,32.56,499.5,0,0.00003007,0.7058
38.49,32.66,499.5,0,0.00002385,0.7058
38.49,32.76,499.5,0,0.00002661,0.7058
38.49,32.86,499.5,0,0.00004469,0.7058
38.49,32.96,499.5,0,0.00009206,0.7058
38.49,33.06,499.5,0,0.0001915,0.7058
38.49,33.16,499.5,0,0.0003828,0.7058
38.49,33.26,499.5,0,0.0007251,0.7058
38.49,33.36,499.5,0,0.001297,0.7058
38.49,33.46,499.5,0,0.002193,0.7058
38.49,33.56,499.5,0,0.003503,0.7058
38.49,33.66,499.5,0,0.005293,0.7058
38.49,33.76,499.5,0,0.00758,0.7058
38.49,33.86,499.5,0,0.01032,0.7058
38.49,33.96,499.5,0,0.0134,0.7058
38.49,34.06,499.5,0,0.01669,0.7058
38.49,34.16,499.5,0,0.02011,0.7058
38.49,34.26,499.5,0,0.02365,0.7058
38.49,34.36,499.5,0,0.02747,0.7058
38.49,34.46,499.5,0,0.03185,0.7058
38.49,34.56,499.5,0,0.0371,0.7058
38.49,34.66,499.5,0,0.04343,0.7058
38.49,34.76,499.5,0,0.05083,0.7058
38.49,34.86,499.5,0,0.05889,0.7058
38.49,34.96,499.5,0,0.06691,0.7058
38.49,35.06,499.5,0,0.07398,0.7058
38.49,35.16,499.5,0.0552566,0.07921,0.7058
38.49,35.26,499.5,0.138142,0.08198,0.7058
38.49,35.36,499.5,0.0276283,0.08205,0.7058
38.49,35.46,499.5,0.0828849,0.07956,0.7058
38.49,35.56,499.5,0,0.07499,0.7058
38.49,35.66,499.5,0.0276283,0.06893,0.7058
38.49,35.76,499.5,0,0.06204,0.7058
38.39,26.56,499.5,0.0276283,0.0001803,0.7058
38.39,26.66,499.5,0,0.0002153,0.7058
38.39,26.76,499.5,0.0276283,0.0002501,0.7058
38.39,26.86,499.5,0,0.0002813,0.7058
38.39,26.96,499.5,0.0276283,0.0003051,0.7058
38.39,27.06,499.5,0,0.0003177,0.7058
38.39,27.16,499.5,0.0276283,0.0003162,0.7058
38.39,27.26,499.5,0,0.0002996,0.7058
38.39,27.36,499.5,0,0.0002693,0.7058
38.39,27.46,499.5,0.0552566,0.000229,0.7058
38.39,27.56,499.5,0,0.0001839,0.7058
38.39,27.66,499.5,0,0.0001392,0.7058
38.39,27.76,499.5,0.0276283,0.00009924,0.7058
38.39,27.86,499.5,0.0276283,0.00006668,0.7058
38.39,27.96,499.5,0.0276283,0.00004226,0.7058
