eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor9,SemiMinor9,ErrorStrik,depth,depthError,magnitude,sigmaMagni,magnitudeT
3888,EMCA,1972,6,14,0,49,54.000000000000000,,51.840000000000003,40.259999999999998,,,,27.000000000000000,,4.100000000000000,,
3909,EMCA,1972,7,5,1,9,52.000000000000000,,80.930000000000007,44.729999999999997,,,,33.000000000000000,,4.400000000000000,,
3918,EMCA,1972,7,15,0,35,45.000000000000000,,78.099999999999994,42.299999999999997,,,,33.000000000000000,,4.500000000000000,,
3935,EMCA,1972,8,9,16,28,13.500000000000000,,72.400000000000006,40.899999999999999,,,,15.000000000000000,,4.100000000000000,,
3959,EMCA,1972,9,3,16,57,47.399999999999999,,79.280000000000001,42.479999999999997,,,,20.000000000000000,,4.200000000000000,,
3991,EMCA,1972,9,13,3,10,36.600000000000001,,79.400000000000006,44.200000000000003,,,,33.000000000000000,,4.600000000000000,,
4009,EMCA,1972,10,1,19,18,44.000000000000000,,81.430000000000007,44.310000000000002,,,,33.000000000000000,,4.000000000000000,,
4012,EMCA,1972,10,10,7,29,57.399999999999999,,79.280000000000001,41.399999999999999,,,,33.000000000000000,,4.200000000000000,,
4026,EMCA,1972,10,27,12,0,35.000000000000000,,75.359999999999999,42.700000000000003,,,,5.000000000000000,,4.400000000000000,,
4045,EMCA,1972,11,16,4,57,33.000000000000000,,81.000000000000000,43.299999999999997,,,,5.000000000000000,,5.000000000000000,,
4070,EMCA,1972,12,24,11,24,15.000000000000000,,78.379999999999995,42.950000000000003,,,,20.000000000000000,,4.200000000000000,,
4084,EMCA,1973,1,8,14,9,51.000000000000000,,80.849999999999994,40.780000000000001,,,,33.000000000000000,,4.000000000000000,,
4095,EMCA,1973,1,24,3,29,49.000000000000000,,81.560000000000002,41.549999999999997,,,,33.000000000000000,,4.500000000000000,,
4104,EMCA,1973,2,5,23,30,47.000000000000000,,81.959999999999994,43.109999999999999,,,,33.000000000000000,,4.600000000000000,,
4115,EMCA,1973,2,18,21,39,1.000000000000000,,74.180000000000007,40.810000000000002,,,,33.000000000000000,,4.700000000000000,,
4129,EMCA,1973,3,24,7,48,59.299999999999997,,78.879999999999995,41.009999999999998,,,,33.000000000000000,,4.000000000000000,,
4143,EMCA,1973,4,11,22,16,45.799999999999997,,81.650000000000006,44.759999999999998,,,,33.000000000000000,,4.100000000000000,,
4147,EMCA,1973,4,14,19,49,44.500000000000000,,77.400000000000006,41.930000000000000,,,,33.000000000000000,,4.500000000000000,,
4164,EMCA,1973,5,11,16,56,40.299999999999997,,81.030000000000001,41.210000000000001,,,,33.000000000000000,,4.200000000000000,,
4165,EMCA,1973,5,11,20,3,48.500000000000000,,81.549999999999997,41.000000000000000,,,,33.000000000000000,,4.200000000000000,,
4187,EMCA,1973,6,2,23,57,4.000000000000000,,83.500000000000000,44.200000000000003,,,,27.000000000000000,,5.700000000000000,,
4223,EMCA,1973,7,25,21,59,0.000000000000000,,79.409999999999997,41.430000000000000,,,,33.000000000000000,,4.200000000000000,,
4241,EMCA,1973,8,23,17,23,6.000000000000000,,82.599999999999994,46.100000000000001,,,,15.000000000000000,,4.500000000000000,,
4247,EMCA,1973,9,1,12,32,31.800000000000001,,75.099999999999994,42.579999999999998,,,,10.000000000000000,,4.600000000000000,,
4281,EMCA,1973,10,24,4,51,31.199999999999999,,79.480000000000004,41.680000000000000,,,,33.000000000000000,,4.500000000000000,,
4320,EMCA,1973,12,29,14,41,25.000000000000000,,83.280000000000001,44.380000000000003,,,,33.000000000000000,,4.100000000000000,,
4332,EMCA,1974,1,11,22,44,56.799999999999997,,70.709999999999994,41.579999999999998,,,,5.000000000000000,,4.600000000000000,,
4363,EMCA,1974,2,20,11,43,4.000000000000000,,73.299999999999997,40.700000000000003,,,,20.000000000000000,,4.900000000000000,,
4369,EMCA,1974,2,24,6,21,33.000000000000000,,67.599999999999994,40.200000000000003,,,,11.000000000000000,,4.200000000000000,,
4373,EMCA,1974,3,4,14,3,56.799999999999997,,78.250000000000000,43.880000000000003,,,,33.000000000000000,,4.500000000000000,,
4375,EMCA,1974,3,6,21,35,39.000000000000000,,84.299999999999997,46.399999999999999,,,,15.000000000000000,,4.500000000000000,,
4397,EMCA,1974,4,13,8,59,11.000000000000000,,68.900000000000006,42.100000000000001,,,,10.000000000000000,,4.600000000000000,,
4412,EMCA,1974,5,6,13,46,1.900000000000000,,79.209999999999994,41.609999999999999,,,,26.000000000000000,,4.500000000000000,,
4413,EMCA,1974,5,7,21,26,30.000000000000000,,81.609999999999999,41.780000000000001,,,,33.000000000000000,,4.000000000000000,,
4420,EMCA,1974,5,12,18,57,14.199999999999999,,81.329999999999998,44.329999999999998,,,,33.000000000000000,,4.500000000000000,,
4465,EMCA,1974,7,2,16,41,4.700000000000000,,75.310000000000002,42.229999999999997,,,,15.000000000000000,,4.900000000000000,,
4469,EMCA,1974,7,6,2,57,11.699999999999999,,81.060000000000002,41.210000000000001,,,,33.000000000000000,,4.100000000000000,,
4772,EMCA,1974,8,26,0,22,28.699999999999999,,81.609999999999999,41.759999999999998,,,,33.000000000000000,,4.500000000000000,,
4867,EMCA,1974,9,20,19,34,38.000000000000000,,80.480000000000004,42.359999999999999,,,,33.000000000000000,,4.600000000000000,,
4903,EMCA,1974,10,13,9,56,8.000000000000000,,53.600000000000001,48.399999999999999,,,,5.000000000000000,,4.100000000000000,,
4921,EMCA,1974,11,3,10,27,30.000000000000000,,81.629999999999995,43.869999999999997,,,,33.000000000000000,,5.400000000000000,,
4940,EMCA,1974,11,24,7,38,37.500000000000000,,78.599999999999994,41.700000000000003,,,,33.000000000000000,,4.000000000000000,,
5003,EMCA,1975,2,12,13,34,51.799999999999997,,78.909999999999997,43.200000000000003,,,,10.000000000000000,,5.100000000000000,,
5020,EMCA,1975,3,1,12,26,35.600000000000001,,79.629999999999995,41.880000000000003,,,,33.000000000000000,,4.600000000000000,,
5029,EMCA,1975,3,19,22,18,52.000000000000000,,82.109999999999999,43.229999999999997,,,,33.000000000000000,,4.700000000000000,,
5054,EMCA,1975,4,16,10,10,18.600000000000001,,78.810000000000002,41.549999999999997,,,,2.000000000000000,,4.600000000000000,,
5059,EMCA,1975,4,23,5,12,27.000000000000000,,82.400000000000006,46.200000000000003,,,,15.000000000000000,,5.000000000000000,,
5062,EMCA,1975,4,25,3,58,5.000000000000000,,81.730000000000004,44.399999999999999,,,,33.000000000000000,,4.000000000000000,,
5064,EMCA,1975,4,28,4,52,2.000000000000000,,79.900000000000006,42.399999999999999,,,,33.000000000000000,,4.500000000000000,,
5072,EMCA,1975,5,5,4,16,17.000000000000000,,79.810000000000002,40.759999999999998,,,,33.000000000000000,,4.700000000000000,,
5082,EMCA,1975,5,12,11,50,26.000000000000000,,81.609999999999999,41.829999999999998,,,,33.000000000000000,,4.500000000000000,,
5083,EMCA,1975,5,12,18,58,50.000000000000000,,81.549999999999997,42.009999999999998,,,,33.000000000000000,,4.100000000000000,,
